Date,AAPL,AMZN,ATO,AVGO,BLDR,BRK-B,DECK,GOOGL,IAU,JPM,LLY,MA,META,MSFT,MTUM,NVDA,PTC,SHV,SPY,TLT,TRGP,TSLA,UNH,USO,V,XOM
2021-02-01,131.81207275390625,167.1439971923828,82.0429916381836,429.3836669921875,39.41999816894531,229.32000732421875,299.3399963378906,94.65350341796875,35.41999816894531,119.1502685546875,195.48098754882812,316.0998229980469,262.010009765625,233.38229370117188,161.50131225585938,132.07229614257812,137.0,103.95468139648438,359.8839111328125,141.5013427734375,26.586145401000977,279.9366760253906,320.3807067871094,36.119998931884766,194.1272735595703,39.35932922363281
2021-02-02,132.64730834960938,169.0,82.05226135253906,438.7120361328125,39.959999084472656,232.24000549316406,312.010009765625,95.95600128173828,34.97999954223633,122.8179931640625,190.1113739013672,328.6922302246094,267.0799865722656,233.24595642089844,164.791015625,135.2626495361328,138.00999450683594,103.95468139648438,364.9727783203125,140.5890655517578,27.735044479370117,290.92999267578125,324.9082946777344,36.81999969482422,198.2865447998047,39.98143005371094
2021-02-03,131.61557006835938,165.62649536132812,80.56224060058594,427.9576416015625,40.369998931884766,232.67999267578125,309.57000732421875,102.94400024414062,34.91999816894531,124.22441101074219,189.53402709960938,327.1685485839844,266.6499938964844,236.64466857910156,164.31005859375,135.000732421875,138.1300048828125,103.97350311279297,365.2597351074219,139.34158325195312,28.513643264770508,284.89666748046875,324.1121520996094,37.439998626708984,197.06324768066406,41.54985046386719
2021-02-04,135.00567626953125,166.5500030517578,82.16331481933594,432.9623107910156,41.54999923706055,235.77000427246094,316.8800048828125,102.68150329589844,34.18000030517578,127.08319854736328,194.018310546875,335.0425109863281,266.489990234375,235.68052673339844,166.1569061279297,136.33523559570312,139.2899932861328,103.9640884399414,369.4111633300781,138.96920776367188,28.30474853515625,283.3299865722656,315.8915710449219,37.810001373291016,204.78488159179688,42.34720230102539
2021-02-05,134.58738708496094,167.6074981689453,82.41320037841797,428.7120361328125,42.59000015258789,235.16000366210938,316.7300109863281,104.44149780273438,34.540000915527344,126.83502960205078,194.1626434326172,332.99786376953125,268.1000061035156,235.86557006835938,167.47467041015625,135.6043701171875,142.72999572753906,103.97350311279297,370.8651428222656,137.80552673339844,28.703540802001953,284.07666015625,311.2777404785156,38.189998626708984,204.31509399414062,43.766658782958984
2021-02-08,134.73504638671875,166.14700317382812,82.4409408569336,434.86663818359375,43.40999984741211,237.4199981689453,320.20001220703125,104.22599792480469,34.900001525878906,128.82054138183594,198.01185607910156,331.3070983886719,266.5799865722656,236.1285400390625,169.10028076171875,144.06280517578125,142.9199981689453,103.9640884399414,373.54351806640625,138.4106903076172,29.681535720825195,287.8066711425781,311.11468505859375,38.939998626708984,202.47523498535156,45.65050506591797
2021-02-09,133.84933471679688,165.25,82.92219543457031,436.6422119140625,43.4900016784668,239.91000366210938,325.5,103.76950073242188,34.97999954223633,128.30577087402344,194.1049346923828,327.77801513671875,269.45001220703125,237.39451599121094,169.0040740966797,142.31178283691406,144.0500030517578,103.97350311279297,373.2947692871094,138.51304626464844,28.77950096130371,283.1533203125,316.1889343261719,39.16999816894531,202.11312866210938,45.11585998535156
2021-02-10,133.23916625976562,164.32899475097656,85.00450134277344,432.4287109375,42.689998626708984,239.9199981689453,320.80999755859375,104.3239974975586,35.13999938964844,128.37930297851562,196.68389892578125,328.53497314453125,271.8699951171875,236.46937561035156,168.42697143554688,147.31048583984375,144.72999572753906,103.97350311279297,373.13214111328125,139.43470764160156,29.482135772705078,268.2733459472656,319.80523681640625,39.279998779296875,202.0348358154297,45.55248260498047
2021-02-11,132.9833221435547,163.10650634765625,84.25486755371094,440.1012268066406,43.41999816894531,239.75999450683594,319.44000244140625,104.4375,34.81999969482422,128.0208282470703,195.75624084472656,337.0479431152344,270.3900146484375,238.09571838378906,169.9948272705078,152.16458129882812,143.64999389648438,103.9640884399414,373.7347717285156,138.67127990722656,28.883947372436523,270.5533447265625,319.48870849609375,38.970001220703125,206.48487854003906,44.41189193725586
2021-02-12,133.219482421875,163.885498046875,84.26412963867188,447.3965759277344,43.41999816894531,242.4600067138672,323.32000732421875,104.75150299072266,34.720001220703125,129.8408966064453,200.3075714111328,335.20965576171875,270.5,238.58261108398438,171.25491333007812,149.2760467529297,142.72000122070312,103.9640884399414,375.5809326171875,136.94906616210938,29.187789916992188,272.0400085449219,314.8556213378906,39.939998626708984,205.79872131347656,45.0178337097168
